"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2019 - Stemmeberettigede";"FV2019 - Afgivne stemmer";"FV2019 - Blanke stemmer";"FV2019 - Andre ugyldige stemmer";"FV2019 - Gyldige stemmer";"FV2019 - A. Socialdemokratiet";"FV2019 - B. Radikale Venstre";"FV2019 - C. Det Konservative Folkeparti";"FV2019 - F. SF - Socialistisk Folkeparti";"FV2019 - I. Liberal Alliance";"FV2019 - K. Kristendemokraterne";"FV2019 - O. Dansk Folkeparti";"FV2019 - V. Venstre, Danmarks Liberale Parti";"FV2019 - Ø. Enhedslisten - De Rød-Grønne";"FV2019 - Å. Alternativet";"FV2019 - D. Nye Borgerlige";"FV2019 - P. Stram Kurs";"FV2019 - E. Klaus Riskær Pedersen";"FV2019 - 1. Uden for partierne";"FV2019 - 2. Uden for partierne";"FV2019 - 3. Uden for partierne";"FV2019 - 4. Uden for partierne";"FV2019 - 5. Uden for partierne"
"101001";"101001";"1";"1";"1";"11147";"9903";"53";"63";"9787";"1556";"1862";"581";"1101";"316";"75";"235";"1752";"1454";"569";"118";"84";"76";"1";"1";"2";"4";"0"
"101002";"101002";"1";"1";"1";"5915";"5096";"27";"16";"5053";"761";"911";"422";"512";"153";"41";"194";"1033";"601";"240";"78";"72";"32";"0";"0";"0";"3";"0"
"101003";"101003";"1";"1";"1";"11045";"9941";"39";"14";"9888";"1473";"1930";"557";"1269";"229";"84";"187";"1580";"1609";"706";"115";"76";"64";"1";"0";"1";"7";"0"
"101005";"101005";"1";"1";"1";"10707";"8961";"51";"33";"8877";"1670";"1420";"455";"1019";"234";"104";"374";"1252";"1419";"580";"149";"125";"67";"1";"0";"3";"5";"0"
"101006";"101006";"1";"1";"1";"9618";"8065";"56";"28";"7981";"1422";"1443";"424";"920";"229";"52";"315";"1235";"1095";"533";"108";"101";"91";"0";"3";"1";"8";"1"
"101007";"101007";"2";"1";"1";"9660";"7664";"76";"34";"7554";"1676";"1121";"293";"911";"154";"51";"501";"925";"1160";"406";"114";"143";"84";"2";"4";"1";"6";"2"
"101008";"101008";"2";"1";"1";"12838";"10435";"68";"31";"10336";"1839";"1719";"352";"1330";"268";"71";"412";"1284";"1927";"730";"117";"139";"125";"1";"5";"1";"10";"6"
"101009";"101009";"2";"1";"1";"9644";"7940";"61";"26";"7853";"1215";"1380";"408";"802";"418";"49";"272";"1462";"993";"530";"120";"114";"80";"1";"1";"1";"7";"0"
"101010";"101010";"2";"1";"1";"10332";"9197";"55";"15";"9127";"1313";"1639";"552";"1064";"360";"38";"252";"1837";"1217";"553";"140";"69";"78";"0";"4";"2";"9";"0"
"101011";"101011";"3";"1";"1";"14032";"10851";"47";"20";"10784";"1176";"2239";"680";"1197";"349";"40";"174";"1759";"1938";"870";"129";"91";"121";"0";"8";"2";"11";"0"
"101012";"101012";"3";"1";"1";"6359";"5748";"31";"21";"5696";"718";"1177";"425";"592";"183";"38";"113";"1074";"865";"340";"69";"49";"47";"0";"4";"0";"1";"1"
"101013";"101013";"3";"1";"1";"9558";"8400";"44";"25";"8331";"1137";"1438";"360";"1022";"181";"46";"170";"1076";"1944";"715";"71";"63";"96";"0";"3";"3";"5";"1"
"101014";"101014";"3";"1";"1";"11722";"10170";"75";"34";"10061";"1212";"1775";"896";"952";"439";"57";"197";"2249";"1331";"580";"153";"89";"125";"0";"1";"2";"3";"0"
"101016";"101016";"4";"1";"1";"9848";"8078";"48";"27";"8003";"1486";"1125";"316";"952";"272";"38";"420";"1226";"1293";"510";"134";"124";"90";"0";"5";"0";"11";"1"
"101017";"101017";"4";"1";"1";"14432";"11853";"96";"47";"11710";"2163";"1750";"410";"1372";"279";"99";"516";"1522";"2205";"870";"169";"199";"129";"0";"11";"1";"12";"3"
"101018";"101018";"4";"1";"1";"8151";"6828";"48";"20";"6760";"1450";"868";"263";"898";"136";"66";"377";"1010";"1008";"381";"81";"122";"88";"1";"4";"0";"5";"2"
"101019";"101019";"4";"1";"1";"8909";"7646";"56";"25";"7565";"1509";"1196";"370";"885";"207";"87";"366";"1308";"929";"426";"96";"107";"75";"0";"1";"0";"3";"0"
"101020";"101020";"5";"1";"1";"6532";"5461";"28";"29";"5404";"815";"857";"101";"709";"52";"29";"122";"376";"1635";"562";"43";"45";"50";"0";"4";"1";"3";"0"
"101021";"101021";"5";"1";"1";"9923";"8527";"50";"20";"8457";"985";"1698";"204";"1126";"177";"36";"160";"862";"2184";"814";"48";"78";"66";"0";"5";"4";"10";"0"
"101022";"101022";"5";"1";"1";"5932";"5058";"27";"28";"5003";"552";"978";"147";"588";"57";"32";"86";"393";"1609";"427";"42";"51";"36";"0";"1";"4";"0";"0"
"101023";"101023";"5";"1";"1";"6756";"5982";"43";"11";"5928";"647";"1203";"188";"773";"125";"22";"76";"656";"1515";"572";"54";"37";"53";"0";"3";"2";"2";"0"
"101024";"101024";"5";"1";"1";"6960";"6094";"31";"12";"6051";"813";"1024";"105";"918";"91";"30";"125";"499";"1737";"550";"50";"46";"51";"0";"7";"2";"3";"0"
"101025";"101025";"5";"1";"1";"10045";"8688";"56";"21";"8611";"874";"1630";"166";"1116";"133";"30";"186";"671";"2608";"968";"69";"62";"83";"0";"8";"2";"5";"0"
"101027";"101027";"6";"1";"1";"10466";"8507";"55";"29";"8423";"1238";"1405";"217";"988";"170";"85";"294";"820";"2162";"723";"132";"95";"80";"0";"7";"1";"6";"0"
"101028";"101028";"6";"1";"1";"7294";"5829";"44";"23";"5762";"1172";"819";"221";"761";"80";"72";"331";"576";"1087";"382";"86";"93";"72";"2";"1";"0";"6";"1"
"101029";"101029";"6";"1";"1";"4011";"3189";"16";"9";"3164";"762";"400";"107";"343";"60";"26";"196";"329";"591";"181";"57";"71";"30";"0";"1";"2";"8";"0"
"101030";"101030";"6";"1";"1";"9435";"7738";"59";"31";"7648";"1097";"1179";"166";"1004";"161";"63";"213";"683";"2068";"699";"105";"121";"71";"2";"4";"6";"5";"1"
"101031";"101031";"7";"1";"1";"3844";"3358";"24";"14";"3320";"666";"483";"199";"453";"80";"18";"173";"439";"472";"200";"61";"41";"31";"0";"0";"0";"4";"0"
"101032";"101032";"7";"1";"1";"2483";"1666";"20";"12";"1634";"339";"428";"19";"112";"15";"10";"106";"70";"363";"123";"13";"23";"12";"0";"0";"0";"1";"0"
"101033";"101033";"7";"1";"1";"7201";"6166";"43";"21";"6102";"1204";"895";"268";"824";"120";"65";"329";"825";"937";"407";"102";"78";"42";"0";"2";"0";"4";"0"
"101034";"101034";"7";"1";"1";"8105";"6980";"33";"15";"6932";"1386";"1111";"255";"967";"114";"58";"347";"712";"1263";"450";"115";"89";"56";"0";"2";"1";"6";"0"
"101035";"101035";"7";"1";"1";"6104";"4663";"37";"45";"4581";"997";"756";"169";"542";"70";"32";"307";"487";"802";"217";"70";"88";"33";"0";"2";"4";"4";"1"
"101036";"101036";"7";"1";"1";"7939";"6687";"45";"13";"6629";"1573";"907";"299";"843";"77";"59";"522";"778";"932";"337";"120";"119";"58";"0";"2";"0";"3";"0"
"101039";"101039";"7";"1";"1";"4584";"3916";"29";"13";"3874";"808";"534";"200";"487";"101";"44";"168";"625";"541";"217";"61";"44";"42";"0";"0";"1";"1";"0"
"101040";"101040";"7";"1";"1";"5136";"4543";"35";"5";"4503";"792";"682";"262";"649";"119";"66";"213";"645";"659";"237";"71";"51";"50";"0";"2";"1";"3";"1"
"101041";"101041";"7";"1";"1";"10049";"8568";"82";"25";"8461";"1812";"1193";"446";"1072";"229";"78";"414";"1267";"1200";"389";"142";"125";"83";"0";"3";"1";"6";"1"
"101042";"101042";"8";"1";"1";"8020";"6852";"56";"23";"6773";"1336";"1074";"320";"890";"187";"62";"276";"960";"1023";"373";"111";"84";"72";"2";"0";"0";"3";"0"
"101043";"101043";"8";"1";"1";"8847";"7574";"68";"21";"7485";"1390";"1102";"333";"917";"196";"60";"347";"1175";"1169";"481";"127";"100";"73";"0";"5";"3";"7";"0"
"101044";"101044";"8";"1";"1";"5960";"4789";"40";"16";"4733";"1084";"740";"185";"494";"136";"44";"253";"679";"645";"244";"76";"99";"44";"1";"0";"2";"7";"0"
"101046";"101046";"8";"1";"1";"4810";"3774";"29";"23";"3722";"857";"562";"135";"411";"64";"52";"269";"460";"538";"187";"55";"89";"38";"0";"0";"0";"5";"0"
"101047";"101047";"8";"1";"1";"4494";"3676";"33";"33";"3610";"719";"552";"109";"442";"72";"21";"184";"416";"718";"245";"48";"57";"23";"0";"1";"0";"3";"0"
"101048";"101048";"8";"1";"1";"7245";"6212";"62";"20";"6130";"1105";"902";"260";"817";"188";"41";"244";"986";"955";"359";"95";"90";"79";"0";"3";"1";"4";"1"
"101049";"101049";"9";"1";"1";"7018";"6279";"29";"10";"6240";"801";"1150";"157";"923";"92";"23";"125";"546";"1620";"643";"51";"45";"60";"0";"0";"2";"2";"0"
"101050";"101050";"9";"1";"1";"8069";"7026";"34";"12";"6980";"860";"1381";"237";"945";"156";"19";"131";"762";"1628";"648";"62";"59";"83";"0";"4";"0";"5";"0"
"101051";"101051";"9";"1";"1";"8579";"6633";"63";"34";"6536";"1371";"693";"143";"689";"122";"41";"395";"513";"1671";"508";"128";"180";"70";"1";"4";"3";"3";"1"
"101052";"101052";"9";"1";"1";"6258";"5531";"23";"16";"5492";"669";"1059";"203";"748";"132";"24";"100";"666";"1219";"541";"55";"25";"43";"0";"1";"1";"6";"0"
"101053";"101053";"9";"1";"1";"5975";"5277";"22";"9";"5246";"696";"1069";"206";"695";"114";"20";"104";"564";"1168";"457";"50";"45";"53";"1";"2";"1";"1";"0"
"101054";"101054";"9";"1";"1";"3084";"2527";"19";"12";"2496";"428";"344";"71";"306";"59";"21";"106";"246";"576";"229";"35";"45";"25";"0";"1";"2";"2";"0"
"101055";"101055";"9";"1";"1";"8313";"7285";"45";"15";"7225";"858";"1449";"480";"589";"485";"36";"115";"1872";"638";"427";"106";"79";"85";"1";"1";"0";"4";"0"
"101056";"101056";"1";"1";"1";"7215";"6398";"27";"7";"6364";"778";"1190";"590";"556";"306";"36";"127";"1631";"630";"328";"68";"59";"61";"0";"3";"0";"1";"0"
"101057";"101057";"2";"1";"1";"7458";"6410";"31";"26";"6353";"1172";"1066";"226";"820";"126";"52";"321";"787";"1093";"468";"80";"78";"62";"0";"2";"0";"0";"0"
"101058";"101058";"5";"1";"1";"9724";"8111";"43";"17";"8051";"927";"1686";"160";"1015";"141";"44";"173";"614";"2262";"821";"65";"62";"69";"0";"5";"2";"4";"1"
"101059";"101059";"6";"1";"1";"5395";"4076";"33";"22";"4021";"688";"700";"116";"467";"57";"54";"194";"292";"971";"323";"57";"63";"33";"0";"3";"1";"2";"0"
"147001";"147001";"10";"1";"1";"8265";"7360";"33";"18";"7309";"990";"1553";"686";"839";"209";"55";"212";"1221";"920";"434";"80";"50";"59";"0";"0";"0";"1";"0"
"147002";"147002";"10";"1";"1";"8479";"7667";"34";"20";"7613";"1089";"1379";"839";"824";"231";"55";"217";"1503";"856";"391";"114";"54";"56";"0";"1";"0";"4";"0"
"147003";"147003";"10";"1";"1";"10700";"9597";"29";"24";"9544";"1407";"1839";"778";"1089";"266";"52";"306";"1692";"1280";"546";"120";"68";"96";"0";"0";"1";"4";"0"
"147004";"147004";"10";"1";"1";"10117";"8992";"49";"11";"8932";"1338";"1725";"841";"929";"229";"63";"319";"1637";"1103";"475";"121";"77";"62";"2";"7";"1";"2";"1"
"147005";"147005";"11";"1";"1";"10090";"8550";"48";"30";"8472";"1522";"1310";"750";"872";"267";"75";"389";"1453";"1072";"418";"128";"123";"70";"0";"3";"0";"17";"3"
"147006";"147006";"11";"1";"1";"9012";"7731";"35";"9";"7687";"1401";"1123";"860";"736";"197";"82";"430";"1417";"877";"314";"108";"78";"59";"0";"2";"1";"2";"0"
"147007";"147007";"11";"1";"1";"9818";"8375";"49";"30";"8296";"1329";"1391";"896";"797";"246";"64";"319";"1551";"1003";"368";"139";"95";"87";"0";"3";"1";"7";"0"
"147008";"147008";"11";"1";"1";"7958";"7153";"33";"13";"7107";"1109";"1260";"570";"789";"252";"42";"210";"1341";"908";"374";"96";"73";"76";"0";"3";"2";"1";"1"
