"Valgsted Id";"KommuneNr";"Kreds Nr";"Storkreds Nr";"Landsdels Nr";"Valgsted navn";"Kommune navn";"Kreds navn";"Storkreds navn";"Landsdels navn";"Valgsted start";"Valgsted stop"
"101001";"101";"1";"1";"1";"1. Østerbro";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101002";"101";"1";"1";"1";"1. Nord";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101003";"101";"1";"1";"1";"1. Syd";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101005";"101";"1";"1";"1";"1. Vest";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101006";"101";"1";"1";"1";"1. Nordvest";"København";"1. Østerbro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101007";"101";"2";"1";"1";"2. Sundbyvester";"København";"2. Sundbyvester";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101008";"101";"2";"1";"1";"2. Nord";"København";"2. Sundbyvester";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101009";"101";"2";"1";"1";"2. Syd";"København";"2. Sundbyvester";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101010";"101";"2";"1";"1";"2. Vest";"København";"2. Sundbyvester";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101011";"101";"3";"1";"1";"3. Indre By";"København";"3. Indre By";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101012";"101";"3";"1";"1";"3. Nord";"København";"3. Indre By";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101013";"101";"3";"1";"1";"3. Syd";"København";"3. Indre By";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101014";"101";"3";"1";"1";"3. Øst";"København";"3. Indre By";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101016";"101";"4";"1";"1";"4. Sundbyøster";"København";"4. Sundbyøster";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101017";"101";"4";"1";"1";"4. Nord";"København";"4. Sundbyøster";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101018";"101";"4";"1";"1";"4. Syd";"København";"4. Sundbyøster";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101019";"101";"4";"1";"1";"4. Øst";"København";"4. Sundbyøster";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101020";"101";"5";"1";"1";"5. Nørrebro";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101021";"101";"5";"1";"1";"5. Nord";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101022";"101";"5";"1";"1";"5. Syd";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101023";"101";"5";"1";"1";"5. Øst";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101024";"101";"5";"1";"1";"5. Vest";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101025";"101";"5";"1";"1";"5. Nordvest";"København";"5. Nørrebro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101027";"101";"6";"1";"1";"6. Bispebjerg";"København";"6. Utterslev";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101028";"101";"6";"1";"1";"6. Nord";"København";"6. Utterslev";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101029";"101";"6";"1";"1";"6. Øst";"København";"6. Utterslev";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101030";"101";"6";"1";"1";"6. Syd";"København";"6. Utterslev";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101031";"101";"7";"1";"1";"7. Brønshøj";"København";"7. Brønshøj";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101032";"101";"7";"1";"1";"7. Nord";"København";"7. Brønshøj";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101033";"101";"7";"1";"1";"7. Rødkilde";"København";"7. Brønshøj";"Københavns Storkreds";"Hovedstaden";"20221002";"99991231"
"101034";"101";"7";"1";"1";"7. Øst";"København";"7. Brønshøj";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101035";"101";"7";"1";"1";"7. Vest";"København";"7. Brønshøj";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101036";"101";"7";"1";"1";"7. Nordvest";"København";"7. Brønshøj";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101039";"101";"7";"1";"1";"7. Katrinedal";"København";"7. Brønshøj";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101040";"101";"7";"1";"1";"7. Kirkebjerg";"København";"7. Brønshøj";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101041";"101";"7";"1";"1";"7. Vanløse";"København";"7. Brønshøj";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101042";"101";"8";"1";"1";"8. Valby";"København";"8. Valby";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101043";"101";"8";"1";"1";"8. Nord";"København";"8. Valby";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101044";"101";"8";"1";"1";"8. Syd";"København";"8. Valby";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101046";"101";"8";"1";"1";"8. Vest";"København";"8. Valby";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101047";"101";"8";"1";"1";"8. Sydøst";"København";"8. Valby";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101048";"101";"8";"1";"1";"8. Midt";"København";"8. Valby";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101049";"101";"9";"1";"1";"9. Vesterbro";"København";"9. Vesterbro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
"101050";"101";"9";"1";"1";"9. Nord";"København";"9. Vesterbro";"Københavns Storkreds";"Hovedstaden";"20150601";"99991231"
