"Gruppe";"ValgstedId";"KredsNr";"StorKredsNr";"LandsdelsNr";"FV2022 - Stemmeberettigede";"FV2022 - Afgivne stemmer"
"101001";"101001";"1";"1";"1";"11022";"9742"
"101002";"101002";"1";"1";"1";"6071";"5213"
"101003";"101003";"1";"1";"1";"11124";"10110"
"101005";"101005";"1";"1";"1";"10900";"9057"
"101006";"101006";"1";"1";"1";"9550";"8078"
"101007";"101007";"2";"1";"1";"9512";"7376"
"101008";"101008";"2";"1";"1";"13144";"10614"
"101009";"101009";"2";"1";"1";"12600";"9938"
"101010";"101010";"2";"1";"1";"10582";"9338"
"101011";"101011";"3";"1";"1";"14528";"11290"
"101012";"101012";"3";"1";"1";"6329";"5732"
"101013";"101013";"3";"1";"1";"9429";"8279"
"101014";"101014";"3";"1";"1";"11689";"10193"
"101016";"101016";"4";"1";"1";"11045";"9014"
"101017";"101017";"4";"1";"1";"14277";"11666"
"101018";"101018";"4";"1";"1";"8064";"6705"
"101019";"101019";"4";"1";"1";"9353";"7914"
"101020";"101020";"5";"1";"1";"6295";"5254"
"101021";"101021";"5";"1";"1";"9966";"8437"
"101022";"101022";"5";"1";"1";"5860";"4935"
"101023";"101023";"5";"1";"1";"6517";"5734"
"101024";"101024";"5";"1";"1";"6786";"5857"
"101025";"101025";"5";"1";"1";"9766";"8355"
"101027";"101027";"6";"1";"1";"10076";"8016"
"101028";"101028";"6";"1";"1";"7232";"5650"
"101029";"101029";"6";"1";"1";"4120";"3215"
"101030";"101030";"6";"1";"1";"9123";"7333"
"101031";"101031";"7";"1";"1";"3776";"3295"
"101032";"101032";"7";"1";"1";"2597";"1577"
"101033";"101033";"7";"1";"1";"7072";"5967"
"101034";"101034";"7";"1";"1";"7807";"6522"
"101035";"101035";"7";"1";"1";"6031";"4397"
"101036";"101036";"7";"1";"1";"7759";"6393"
"101039";"101039";"7";"1";"1";"4566";"3930"
"101040";"101040";"7";"1";"1";"5107";"4445"
"101041";"101041";"7";"1";"1";"9963";"8418"
"101042";"101042";"8";"1";"1";"8012";"6779"
"101043";"101043";"8";"1";"1";"8817";"7577"
"101044";"101044";"8";"1";"1";"8846";"6921"
"101046";"101046";"8";"1";"1";"4699";"3549"
"101047";"101047";"8";"1";"1";"4872";"3818"
"101048";"101048";"8";"1";"1";"7337";"6150"
"101049";"101049";"9";"1";"1";"6985";"6329"
"101050";"101050";"9";"1";"1";"8056";"7038"
"101051";"101051";"9";"1";"1";"8237";"6268"
"101052";"101052";"9";"1";"1";"6249";"5520"
"101053";"101053";"9";"1";"1";"7504";"6705"
"101054";"101054";"9";"1";"1";"3415";"2687"
"101055";"101055";"9";"1";"1";"11317";"9689"
"101056";"101056";"1";"1";"1";"7821";"6975"
"101057";"101057";"2";"1";"1";"7818";"6563"
"101058";"101058";"5";"1";"1";"9339";"7459"
"101059";"101059";"6";"1";"1";"5280";"3959"
"147001";"147001";"10";"1";"1";"8258";"7428"
"147002";"147002";"10";"1";"1";"8499";"7654"
"147003";"147003";"10";"1";"1";"10972";"9889"
"147004";"147004";"10";"1";"1";"10215";"9002"
"147005";"147005";"11";"1";"1";"10314";"8511"
"147006";"147006";"11";"1";"1";"9138";"7747"
"147007";"147007";"11";"1";"1";"9671";"8239"
"147008";"147008";"11";"1";"1";"7909";"7106"
"151001";"151001";"20";"2";"1";"4054";"3121"
"151002";"151002";"20";"2";"1";"6011";"4643"
"151003";"151003";"20";"2";"1";"2531";"2237"
"151004";"151004";"20";"2";"1";"3080";"2335"
"151005";"151005";"20";"2";"1";"3679";"3338"
"151006";"151006";"20";"2";"1";"5635";"4416"
"151008";"151008";"20";"2";"1";"4075";"3562"
"151009";"151009";"20";"2";"1";"3370";"3044"
"151010";"151010";"20";"2";"1";"2136";"1904"
"153001";"153001";"18";"2";"1";"3921";"3225"
"153002";"153002";"18";"2";"1";"3348";"2536"
"153003";"153003";"18";"2";"1";"3035";"2411"
"153004";"153004";"18";"2";"1";"5339";"4073"
"153005";"153005";"18";"2";"1";"7919";"5592"
"155001";"155001";"12";"1";"1";"3812";"3416"
"155004";"155004";"12";"1";"1";"6556";"5797"
"157001";"157001";"13";"2";"1";"5419";"4851"
"157002";"157002";"13";"2";"1";"4411";"3940"
"157003";"157003";"13";"2";"1";"4844";"4356"
"157004";"157004";"13";"2";"1";"5126";"4184"
"157005";"157005";"13";"2";"1";"4964";"4538"
"157006";"157006";"13";"2";"1";"5622";"5185"
"157007";"157007";"13";"2";"1";"6148";"5540"
"157008";"157008";"13";"2";"1";"4389";"3994"
"157009";"157009";"13";"2";"1";"5090";"4671"
"157010";"157010";"13";"2";"1";"4618";"4108"
"159001";"159001";"15";"2";"1";"4700";"4032"
"159002";"159002";"15";"2";"1";"6245";"5169"
"159003";"159003";"15";"2";"1";"5768";"4629"
"159004";"159004";"15";"2";"1";"6198";"5091"
"159005";"159005";"15";"2";"1";"6072";"4861"
"159006";"159006";"15";"2";"1";"6000";"5349"
"159007";"159007";"15";"2";"1";"3815";"3354"
"159008";"159008";"15";"2";"1";"4173";"3476"
"159009";"159009";"15";"2";"1";"2875";"2191"
"161001";"161001";"20";"2";"1";"2326";"2048"
"161002";"161002";"20";"2";"1";"2413";"1907"
"161003";"161003";"20";"2";"1";"4162";"3264"
"161004";"161004";"20";"2";"1";"3028";"2280"
"161005";"161005";"20";"2";"1";"1420";"1301"
"161006";"161006";"20";"2";"1";"2877";"2364"
"163001";"163001";"16";"2";"1";"7213";"5539"
"163002";"163002";"16";"2";"1";"6294";"5521"
