driver,lat,lon,occupied,timestamp
egteir,37.75135,-122.39526,0,1212567954
egteir,37.75143,-122.39529,0,1212567848
egteir,37.75154,-122.39531,0,1212567624
egteir,37.75154,-122.39531,0,1212567577
egteir,37.75159,-122.3953,0,1212567509
egteir,37.75202,-122.39467,0,1212567444
egteir,37.74992,-122.39339,0,1212567384
egteir,37.74884,-122.40372,0,1212567323
egteir,37.75952,-122.40633,0,1212567263
egteir,37.76916,-122.41008,0,1212567202
egteir,37.77311,-122.42383,0,1212567156
egteir,37.77403,-122.42912,0,1212567080
egteir,37.77194,-122.43172,0,1212567020
egteir,37.7728,-122.43568,0,1212566959
egteir,37.77392,-122.43793,0,1212566899
egteir,37.77384,-122.43799,0,1212566839
egteir,37.77386,-122.43782,0,1212566782
egteir,37.77387,-122.43787,0,1212566719
egteir,37.77386,-122.43786,0,1212566665
egteir,37.7738,-122.4377,0,1212566599
egteir,37.77588,-122.43842,0,1212566546
egteir,37.77506,-122.43954,0,1212566477
egteir,37.77506,-122.43954,1,1212566476
egteir,37.77475,-122.43941,1,1212566463
egteir,37.77452,-122.43413,1,1212566390
egteir,37.77365,-122.43238,1,1212566331
egteir,37.77325,-122.42907,1,1212566270
egteir,37.77173,-122.42531,1,1212566211
egteir,37.76469,-122.42407,1,1212566150
egteir,37.75827,-122.42343,1,1212566090
egteir,37.75533,-122.42321,1,1212566030
egteir,37.75212,-122.42284,0,1212565963
egteir,37.74684,-122.42238,0,1212565903
egteir,37.74254,-122.42332,0,1212565867
egteir,37.74763,-122.42252,1,1212565765
egteir,37.7544,-122.42316,1,1212565700
egteir,37.75871,-122.42355,1,1212565639
egteir,37.76327,-122.42401,1,1212565579
egteir,37.76641,-122.42412,1,1212565540
egteir,37.7667,-122.41988,1,1212565475
egteir,37.76697,-122.4166,1,1212565437
egteir,37.76745,-122.41663,1,1212565414
egteir,37.7646,-122.4163,1,1212565359
egteir,37.7638,-122.41961,1,1212565294
egteir,37.765,-122.41987,0,1212565258
egteir,37.76322,-122.42167,0,1212565188
egteir,37.7618,-122.41939,0,1212565127
egteir,37.75313,-122.4185,0,1212565007
egteir,37.74894,-122.41814,0,1212564949
egteir,37.74833,-122.41351,0,1212564891
egteir,37.7475,-122.41047,0,1212564825
egteir,37.74625,-122.41056,0,1212564823
egteir,37.74326,-122.40961,0,1212564748
egteir,37.74325,-122.4096,1,1212564746
egteir,37.74536,-122.4105,1,1212564688
egteir,37.74821,-122.41312,1,1212564633
egteir,37.74933,-122.41821,1,1212564567
egteir,37.75219,-122.41855,1,1212564507
egteir,37.75239,-122.41853,0,1212564486
egteir,37.75608,-122.41886,0,1212564428
egteir,37.7604,-122.41924,0,1212564370
egteir,37.76336,-122.41954,0,1212564328
egteir,37.76501,-122.41987,0,1212564277
egteir,37.76331,-122.42151,0,1212564207
egteir,37.7639,-122.41742,0,1212564146
egteir,37.7637,-122.41955,0,1212564091
egteir,37.76175,-122.41933,0,1212564025
egteir,37.75684,-122.41886,0,1212563972
egteir,37.75366,-122.41853,0,1212563909
egteir,37.7524,-122.41611,0,1212563845
egteir,37.75254,-122.41378,0,1212563785
egteir,37.7528,-122.40956,0,1212563725
egteir,37.75286,-122.40875,1,1212563722
egteir,37.75285,-122.40836,1,1212563670
egteir,37.75256,-122.41401,1,1212563609
egteir,37.75846,-122.4146,1,1212563549
egteir,37.75909,-122.41471,1,1212563531
egteir,37.76357,-122.4152,1,1212563341
egteir,37.76979,-122.4156,1,1212563280
egteir,37.77319,-122.41541,1,1212563230
egteir,37.77718,-122.41041,1,1212563160
egteir,37.78339,-122.40287,1,1212563113
egteir,37.78468,-122.40439,1,1212563061
egteir,37.78467,-122.40437,0,1212563031
egteir,37.78454,-122.40728,0,1212562970
egteir,37.78286,-122.40947,0,1212562906
egteir,37.77975,-122.41151,0,1212562884
egteir,37.77715,-122.40822,0,1212562793
egteir,37.77365,-122.41182,0,1212562730
egteir,37.77204,-122.41373,0,1212562687
egteir,37.77189,-122.41123,0,1212562625
egteir,37.7739,-122.40842,0,1212562573
egteir,37.77457,-122.40854,0,1212562532
egteir,37.77457,-122.40853,1,1212562504
egteir,37.77481,-122.41019,1,1212562463
egteir,37.77209,-122.4138,1,1212562397
egteir,37.76943,-122.41555,1,1212562337
egteir,37.76682,-122.41545,1,1212562277
egteir,37.76285,-122.41506,1,1212562217
egteir,37.75787,-122.41458,1,1212562157
egteir,37.75423,-122.41276,1,1212562097
egteir,37.75444,-122.40835,1,1212562037
egteir,37.75287,-122.40827,0,1212562035
egteir,37.75287,-122.40827,0,1212562007
egteir,37.75287,-122.40827,0,1212561982
egteir,37.75286,-122.40826,1,1212561980
egteir,37.75269,-122.40928,1,1212561915
egteir,37.75261,-122.41289,1,1212561854
egteir,37.75213,-122.41835,1,1212561794
egteir,37.75109,-122.41827,0,1212561760
egteir,37.74826,-122.4173,0,1212561704
egteir,37.74838,-122.40933,0,1212561640
egteir,37.7494,-122.40399,0,1212561582
egteir,37.75111,-122.40227,0,1212561507
egteir,37.75112,-122.40226,1,1212561485
egteir,37.75638,-122.40182,1,1212561381
egteir,37.76007,-122.40313,1,1212561324
egteir,37.76481,-122.40357,1,1212561276
egteir,37.77005,-122.40403,1,1212561200
egteir,37.77172,-122.40624,1,1212561147
egteir,37.77646,-122.41189,1,1212561077
egteir,37.77997,-122.4152,1,1212561022
egteir,37.78639,-122.41654,1,1212560970
egteir,37.79036,-122.41496,1,1212560896
egteir,37.79121,-122.41068,1,1212560845
egteir,37.79219,-122.41228,1,1212560776
egteir,37.79185,-122.41294,0,1212560774
egteir,37.79123,-122.4153,0,1212560709
egteir,37.79121,-122.41538,1,1212560702
egteir,37.79094,-122.41761,1,1212560614
egteir,37.79075,-122.41944,1,1212560554
egteir,37.79034,-122.42284,1,1212560503
egteir,37.7949,-122.4233,1,1212560437
egteir,37.80231,-122.42483,1,1212560372
egteir,37.80463,-122.42169,1,1212560322
egteir,37.80487,-122.41986,1,1212560251
egteir,37.80525,-122.41687,1,1212560209
egteir,37.80633,-122.41386,1,1212560158
egteir,37.80658,-122.41375,0,1212560135
egteir,37.80708,-122.41751,0,1212560065
egteir,37.80699,-122.41789,0,1212560062
egteir,37.80662,-122.42075,0,1212560056
egteir,37.80532,-122.4249,1,1212559363
egteir,37.80518,-122.42471,1,1212559288
egteir,37.80048,-122.42098,1,1212559117
egteir,37.7984,-122.41813,1,1212559048
egteir,37.79588,-122.41504,1,1212558993
egteir,37.79237,-122.41408,1,1212558933
egteir,37.79206,-122.41093,1,1212558871
egteir,37.79206,-122.41088,0,1212558843
egteir,37.79174,-122.41111,0,1212558787
egteir,37.79155,-122.41246,0,1212558723
egteir,37.79145,-122.41337,0,1212558663
egteir,37.78976,-122.41564,0,1212558603
egteir,37.78768,-122.41499,0,1212558549
egteir,37.78747,-122.41501,1,1212558542
